id,title,release_date,genres,platform,region
299536,Avengers: Infinity War,2018-04-25,"['Other', 'Action', 'Other']",Cinema,India
1125899,Cleaner,2025-02-19,"['Action', 'Thriller']",Cinema,India
1151039,Nonnas,2025-05-01,['Comedy'],Cinema,India
1212855,Fight or Flight,2025-04-03,"['Action', 'Comedy', 'Thriller']",Cinema,India
1020414,Peter Pan's Neverland Nightmare,2025-01-13,"['Horror', 'Thriller', 'Other']",Cinema,India
945961,Alien: Romulus,2024-08-13,"['Horror', 'Other']",Cinema,India
845781,Red One,2024-10-31,"['Action', 'Comedy', 'Other']",Cinema,India
385687,Fast X,2023-05-17,"['Action', 'Other', 'Thriller', 'Other', 'Other']",Cinema,India
573435,Bad Boys: Ride or Die,2024-06-05,"['Action', 'Comedy', 'Other', 'Thriller', 'Other']",Cinema,India
346698,Barbie,2023-07-19,"['Comedy', 'Other']",Cinema,India
1084199,Companion,2025-01-22,"['Horror', 'Other', 'Thriller']",Cinema,India
974576,Conclave,2024-10-25,"['Drama', 'Thriller', 'Other']",Cinema,India
1018247,MK Ultra,2022-10-07,['Thriller'],Cinema,India
302946,The Accountant,2016-10-13,"['Other', 'Thriller', 'Drama']",Cinema,India
693134,Dune: Part Two,2024-02-27,"['Other', 'Other']",Cinema,India
1104845,Plankton: The Movie,2025-03-08,"['Other', 'Other', 'Comedy', 'Other', 'Other']",Cinema,India
1136721,The Glenarma Tapes,2024-04-02,['Horror'],Cinema,India
1373723,The Codes of War,2025-03-20,"['Action', 'Other']",Cinema,India
361743,Top Gun: Maverick,2022-05-21,"['Action', 'Drama']",Cinema,India
177677,Mission: Impossible - Rogue Nation,2015-07-23,"['Action', 'Other']",Cinema,India
872585,Oppenheimer,2023-07-19,"['Drama', 'Other']",Cinema,India
402431,Wicked,2024-11-20,"['Drama', 'Romance', 'Other']",Cinema,India
269149,Zootopia,2016-02-11,"['Other', 'Other', 'Other', 'Comedy']",Cinema,India
1087192,How to Train Your Dragon,2025-06-06,"['Action', 'Other', 'Other']",Cinema,India
